1736,420
1738,2495
1741,11805
1742,6875
1744,1900
1746,1760
1747,3710
1749,6310
1751,2035
1752,795
1753,620
1754,840
1755,1665
1756,2300
1757,785
1759,2545
1761,8245
1764,3685
1766,2325
1767,1010
1768,925
1769,185
1771,6175
1773,620
1774,2045
1775,3740
1777,5325
1778,885
1779,2405
1781,9060
1782,11045
1783,3120
1784,9280
1785,9440
1786,190
1787,1975
1788,12585
1789,490
1791,7125
1792,1350
1793,400
1794,1295
1795,1225
1796,1330
1797,990
1811,4480
1812,260
1813,7240
1814,9555
1815,6810
1816,8675
1817,3495
1821,1285
1822,3765
1823,6700
1824,7350
1825,9595
1826,6640
1827,11255
1829,4195
1831,2620
1832,245
1834,6085
1841,1815
1842,600
1843,735
1844,230
1846,380
1847,245
1851,12550
1852,10035
1861,6460
1862,6095
1865,390
1871,4735
1873,1630
1901,13810
1902,8845
1906,6895
1911,12815
1921,4870
1931,4900
1934,3935
1935,2725
1941,3320
1942,2330
1943,5045
1944,7020
1945,6525
1946,4405
1947,3510
1948,5055
1949,2115
1951,5080
1961,880
1962,7640
1963,5815
1964,7255
1965,6430
1966,4755
1967,4955
1968,310
1969,1155
1971,8470
1972,8110
1973,5575
1974,6145
1975,2135
1976,300
1981,1955
1985,3180
1991,14100
1992,2160
2011,12360
2012,12185
2013,8115
2014,7190
2015,5375
2019,90
2021,8500
2022,8200
2023,11875
2024,8840
2025,8745
2026,5540
2031,1570
2032,7490
2033,12065
2034,9715
2035,6485
2036,7550
2037,8145
2041,7650
2042,8010
2051,4150
2061,6095
2063,625
2064,2650
2065,370
2071,6895
2082,3170
2101,7160
2102,4630
2103,3620
2104,3945
2105,3875
2106,3060
2111,4375
2114,2200
2116,970
2121,5215
2131,10460
2132,11230
2133,7965
2134,28505
2135,15185
2136,1780
2141,4365
2142,960
2143,130
2144,995
2151,15735
2152,11720
2153,3105
2154,300
2155,45
2156,365
2157,1125
2158,435
2159,480
2161,11835
2162,7695
2163,3150
2165,3680
2171,9740
2172,5705
2181,8580
2182,12040
2191,2140
2201,13060
2202,7740
2203,3915
2204,710
2211,13455
2215,15390
2221,13215
2222,30
2223,6365
2224,9175
2225,13985
2231,14825
2235,4445
2241,9880
2242,8845
2243,2930
2244,2005
2245,2065
2251,10615
2252,5060
2253,7765
2254,425
2261,4680
2262,3115
2263,5470
2264,8450
2265,4110
2266,6265
2267,365
2271,7095
2272,8020
2273,9395
2274,10620
2275,4500
2281,4535
2282,9830
2283,5565
2284,4405
2285,8025
2286,7825
2287,3685
2288,1085
2289,1710
2291,11305
2292,3100
2295,3605
2311,10320
2312,14505
2313,12370
2314,6010
2315,8170
2316,8130
2317,11035
2318,3420
2321,8150
2322,210
2323,140
2324,10065
2331,11785
2332,9585
2333,1725
2334,2265
2341,9475
2342,1720
2343,11570
2351,5100
2352,8105
2353,13395
2355,1735
2361,4785
2362,190
2371,7400
2374,785
2375,1580
2376,650
2377,4035
2381,5485
2382,2565
2391,5650
2394,5295
2396,4200
2401,9515
2402,13720
2403,10290
2404,4420
2405,7715
2406,8155
2407,835
2408,14880
2409,55
2411,17675
2415,1750
2421,8605
2431,1630
2432,195
2435,2855
2441,3795
2445,1175
2451,4275
2461,8950
2465,1245
2471,1925
2481,3570
2491,330
2492,12710
2493,6925
2495,170
2496,9490
2497,10125
2498,5745
2511,3365
2512,13400
2513,7230
2514,2905
2515,11550
2516,8690
2517,8405
2518,10040
2521,7295
2522,11575
2523,5215
2524,6745
2525,16345
2526,13020
2531,8380
2532,5075
2533,7060
2541,7520
2542,9525
2543,6005
2544,10930
2545,10225
2546,5720
2547,7070
2548,19695
2551,10830
2552,15855
2553,7450
2554,1755
2555,8170
2561,5255
2562,10470
2563,9835
2564,10935
2565,11540
2566,6000
2571,10360
2572,8585
2573,10130
2574,7040
2581,3085
2582,8280
2583,9680
2584,6515
2585,6280
2586,7325
2587,7755
2591,6680
2592,6085
2593,8090
2594,1685
2595,6400
2596,6790
2597,7685
2611,12010
2612,9320
2613,12935
2614,9880
2616,115
2622,8600
2623,6260
2624,12700
2625,13930
2626,50
2627,1305
2628,10295
2629,285
2631,15205
2632,3500
2635,7065
2636,4570
2641,12135
2642,8175
2643,1035
2645,9235
2651,17670
2652,8250
2661,13480
2662,3760
2665,10930
2671,13030
2672,3760
2673,2065
2675,7480
2676,3930
2678,11765
2681,13615
2684,535
2685,5630
2691,13075
2692,3355
2693,975
2694,2530
2711,3750
2712,4935
2713,5830
2715,5360
2716,9745
2717,7200
2718,9465
2719,12315
2721,8660
2722,6120
2723,3835
2724,7445
2725,6030
2726,6250
2727,5415
2728,9085
2729,10470
2731,3315
2735,80
2741,10235
2742,7995
2743,7110
2751,3535
2752,390
2761,6640
2771,15040
2801,6690
2802,9445
2803,9230
2804,12620
2805,10205
2806,10615
2807,11710
2808,400
2809,130
2811,9810
2821,4995
2825,1670
2831,2405
2841,8170
2851,4200
2855,615
2861,6605
2865,1520
2871,11920
2901,10255
2902,7860
2903,8290
2904,7830
2905,6355
2906,5550
2907,14035
2908,3205
2909,2730
2911,6425
2912,6745
2913,595
2914,8025
2921,2255
2922,6595
2923,6145
2924,4155
2925,6930
2926,2550
2931,6435
2935,5735
2941,7555
2951,9725
2952,755
2953,5880
2954,2845
2957,8740
2959,2535
2961,805
2964,4070
2965,1365
2967,1670
2968,100
2969,2165
2971,2770
2973,1075
2974,1230
2975,970
2977,890
2981,3160
2982,5905
2983,8585
2984,3065
2985,4700
2986,8460
2987,7265
2988,2935
2989,815
2991,12070
2992,14040
2993,14515
2994,6210
2995,3725
3011,13425
3012,4150
3013,1065
3014,8045
3015,2200
3016,1360
3021,11405
3022,9710
3023,9125
3024,8055
3025,7260
3026,6950
3027,10110
3028,7555
3029,3280
3031,8085
3032,6300
3033,4525
3034,10100
3035,6485
3036,8290
3037,7595
3038,7600
3039,9570
3041,115
3042,7280
3043,7110
3044,145
3045,1365
3046,410
3047,85
3051,7450
3052,6035
3053,9790
3054,7765
3055,7755
3056,3480
3059,11000
3061,15570
3062,7175
3063,8950
3064,1710
3065,8420
3066,10350
3067,20110
3068,22130
3069,18920
3071,18895
3072,14215
3073,13740
3074,11125
3075,12690
3076,13330
3077,17860
3078,11525
3079,15705
3081,11935
3082,11110
3083,12740
3084,2320
3085,12255
3086,11245
3087,1815
3088,15
3089,1485
3111,4400
3112,10790
3113,25
3114,5885
3115,30
3116,3035
3117,8845
3118,4790
3119,9375
3121,3235
3122,8705
3123,7495
3124,8765
3125,340
3131,15410
3132,12220
3133,970
3134,6820
3135,12130
3136,10060
3137,13650
3138,15
3141,6650
3142,5440
3143,2465
3144,5690
3145,6275
3146,5285
3147,105
3151,9665
3155,6525
3161,7760
3162,6970
3171,6030
3172,1180
3176,2735
3181,12505
3191,9810
3192,11655
3193,6110
3194,6480
3195,4795
3197,0
3198,10
3201,11165
3202,6615
3203,3750
3204,7665
3205,8540
3206,10365
3207,16590
3208,6195
3209,1365
3211,1755
3212,435
3214,5240
3216,1275
3218,2530
3221,5140
3222,4120
3223,13810
3224,8260
3225,8395
3227,1175
3231,3455
3232,8960
3233,7210
3234,560
3235,6215
3237,1690
3238,1875
3241,6735
3243,1375
3244,2475
3245,7475
3247,5020
3248,2170
3249,1225
3251,3475
3252,2175
3253,5755
3255,4865
3256,1180
3257,2650
3258,1705
3261,9280
3262,9055
3263,5200
3264,3845
3265,1650
3267,1995
3271,4290
3273,2100
3274,3440
3281,8745
3284,3360
3286,4045
3291,7935
3292,465
3293,470
3295,9085
3297,6815
3299,3240
3311,15915
3312,11200
3313,5385
3314,16190
3315,20230
3316,790
3317,14870
3318,5535
3319,10225
3328,15945
3329,2460
3331,10815
3332,9675
3333,7180
3334,6150
3335,6830
3336,70
3341,6935
3342,6260
3343,6785
3344,7635
3351,8970
3352,3465
3353,5840
3354,2535
3355,6255
3356,4820
3361,6335
3362,11480
3363,5990
3364,250
3366,705
3371,11925
3372,4595
3373,1010
3381,4885
3401,12460
3402,9265
3403,2270
3404,10345
3405,3430
3411,8070
3412,1105
3413,320
3415,1195
3417,9735
3421,7890
3425,830
3431,7260
3432,5820
3433,3465
3434,8495
3435,6090
3436,6540
3437,13665
3438,9290
3439,320
3441,1940
3442,4030
3443,7025
3444,235
3445,3995
3446,8040
3447,20
3448,9510
3449,460
3451,9500
3452,10145
3453,9325
3454,11760
3455,435
3461,3760
3464,390
3465,1810
3466,1685
3467,710
3471,3790
3474,2335
3481,8360
3511,8570
3512,7905
3513,5465
3514,7455
3515,4790
3521,5405
3522,8735
3523,8980
3524,11565
3525,5605
3526,10070
3527,11845
3528,10
3531,11340
3532,6985
3533,7445
3534,1300
3541,65
3542,190
3543,7515
3544,17530
3545,145
3546,210
3551,6935
3552,6235
3553,7220
3554,7230
3555,7875
3561,8280
3562,6755
3563,6235
3564,9680
3565,70
3566,330
3571,9675
3572,11225
3573,3180
3581,9700
3582,8695
3583,5940
3584,5615
3585,180
3601,6945
3602,3660
3603,2350
3604,1735
3605,5230
3606,30
3607,14080
3608,3395
3611,565
3612,1180
3615,1220
3621,10575
3625,210
3626,730
3628,3315
3631,465
3632,4270
3633,1765
3634,500
3641,11515
3642,3370
3643,1655
3645,8495
3646,785
3648,6515
3651,140
3652,650
3653,50
3701,5725
3702,3780
3703,5915
3704,9065
3705,9460
3706,5310
3707,5775
3708,5935
3709,325
3711,1530
3712,2030
3721,7745
3722,4410
3723,9890
3731,5955
3732,4510
3734,4220
3735,1765
3737,1885
3738,4975
3739,1455
3741,8980
3742,9585
3743,4425
3744,1100
3749,290
3751,6300
3752,12935
3754,875
3755,8845
3761,4905
3762,8370
3763,2560
3764,5205
3765,5060
3766,7420
3768,5785
3769,6305
3771,10680
3772,15775
3773,3785
3774,5110
3775,270
3776,1580
3781,10270
3784,1475
3785,1255
3791,2410
3792,130
3794,640
3811,6085
3812,11020
3813,15325
3814,5835
3815,10450
3816,10885
3817,11940
3818,10090
3819,450
3821,190
3822,8520
3823,11815
3824,15320
3825,10180
3826,4040
3828,10785
3829,3530
3831,12850
3832,3980
3833,6980
3834,2025
3835,355
3836,135
3841,5960
3842,6590
3843,6580
3844,9490
3845,8715
3846,120
3847,620
3848,4030
3849,2820
3851,10435
3852,5355
3853,10345
3861,7585
3862,12895
3863,6935
3864,3460
3871,8910
3881,11340
3882,12400
3886,2045
3888,2855
3891,5120
3892,5740
3893,6730
3894,1930
3896,590
3897,705
3898,200
3899,90
3901,9235
3902,10295
3903,7065
3904,13410
3905,14445
3906,7565
3907,255
3911,13840
3912,635
3921,4100
3922,355
3925,9330
3927,4755
3931,12000
3941,10025
3945,3100
3947,2065
3951,4605
3953,1310
3956,7575
3958,5450
3959,1385
3961,9590
3962,8365
3971,7885
3972,10485
3981,6680
3984,5435
3985,2320
3989,10
3991,17365
3992,6645
3993,5385
3994,13750
3995,1555
3997,615
3998,1945
3999,680
4001,9970
4002,2365
4003,8315
4004,90
4005,5630
4006,3870
4007,8840
4011,1550
4012,1390
4013,675
4014,1145
4016,175
4017,145
4021,4175
4023,670
4024,1625
4031,2150
4032,785
4033,5660
4041,5205
4043,6115
4051,4565
4053,1085
4054,1150
4061,1620
4062,140
4063,400
4064,1000
4101,7025
4102,8265
4103,1425
4104,90
4105,10435
4106,65
4107,270
4111,630
4112,3145
4115,390
4116,2675
4117,515
4119,400
4121,1220
4122,800
4124,1505
4126,950
4128,2590
4131,4275
4132,4645
4133,7225
4141,5160
4142,6100
4143,6855
4145,1530
4147,3220
4151,585
4152,675
4153,3550
4155,300
4156,910
4157,570
4158,2175
4161,2275
4163,220
4171,2475
4174,975
4175,2590
4176,630
4181,2325
4182,505
4184,1165
4185,620
4191,10400
4194,3740
4196,2200
4197,1110
4201,5465
4202,70
4203,165
4204,5265
4205,9655
4206,2135
4207,11055
4208,120
4209,1210
4211,770
4212,115
4213,945
4214,2030
4221,1415
4223,1700
4225,1820
4231,3635
4233,2830
4235,750
4241,3395
4243,1030
4245,1555
4247,830
4251,11255
4254,5365
4255,3400
4261,6225
4264,2465
4265,1720
4266,745
4267,390
4268,720
4269,410
4271,2405
4273,3930
4281,2435
4283,1520
4284,1730
4285,4580
4286,3580
4287,220
4288,350
4301,9365
4302,1020
4303,440
4305,650
4306,2690
4307,2360
4308,355
4311,4070
4315,1010
4316,765
4317,750
4318,1420
4321,1030
4322,1320
4323,340
4325,1595
4326,320
4327,305
4328,4400
4331,6250
4332,4085
4333,5350
4334,2960
4335,7050
4336,7405
4337,8095
4338,65
4339,1310
4341,5455
4351,1670
4352,505
4353,1780
4354,1115
4356,2420
4357,1510
4361,2720
4363,1495
4364,1315
4365,1450
4371,3500
4373,925
4374,1515
4381,7030
4382,7915
4383,2890
4384,5740
4385,5590
4386,3800
4387,525
4388,10470
4389,575
4401,6650
4411,3035
4413,4410
4414,1325
4415,480
4416,3975
4417,1735
4421,8780
4423,510
4424,3045
4431,4610
4433,735
4434,950
4435,625
4436,715
4437,405
4438,570
4441,1125
4443,620
4444,515
4451,5475
4453,1970
4454,1480
4455,1175
4456,1750
4458,1660
4461,11205
4462,6475
